radius	low	clinical
70	0.28325785216564575	0.10806655240096895
72	0.2843698270176873	0.10824365195243595
74	0.2854031804634258	0.10837290902494973
76	0.28643504035298045	0.10848643639128842
78	0.2875962563414597	0.108590857486833
80	0.2887359481252519	0.10870898285345963
82	0.2898765066881219	0.10883162365864428
84	0.29096673841174486	0.10896731082054249
86	0.2921213610449804	0.10917783000633774
88	0.2934640967039257	0.10946632130670443
90	0.29505752438924865	0.10988424321695174
92	0.29691895453126366	0.11040960065158203
94	0.29924013388380816	0.11115427681008443
96	0.30287728403627184	0.11552253506584116
98	0.308992293248997	0.12660684475234543
100	0.31548356392724236	0.1378717702496459
102	0.3218691212633939	0.1484806981996629
104	0.3281293772366136	0.15858827738773007
106	0.33433474815838093	0.16848765200950494
108	0.3409235320812051	0.178039724346379
110	0.34753929210029827	0.18735057675160255
112	0.35419134074260095	0.19652277943041951
114	0.3608152245506885	0.20557109612680768
116	0.3674434438870696	0.2144483752686129
118	0.3741332831671445	0.2232872085078136
120	0.3808912823628082	0.23218238843329533
122	0.3878374734355851	0.24121513367582004
124	0.39490242109584756	0.25042020181060476
126	0.40224365221114283	0.25997475817481785
128	0.40996547175934145	0.26998398602984086
