radius	low	clinical
70	0.29511444171307294	0.16626889600064462
72	0.29578417595707335	0.16806586917700506
74	0.29628611181571507	0.1697515971834778
76	0.2967283489006494	0.1712078563143999
78	0.297198019473304	0.17272801482846012
80	0.2977373122923959	0.1742246102942598
82	0.298313882700275	0.17569027771886184
84	0.2989686498401562	0.17713953393265514
86	0.2997354806552411	0.17869082061441455
88	0.30047419592196484	0.1801419626974281
90	0.30131511868848465	0.18164336294756359
92	0.30227737388148784	0.18325799311526403
94	0.3034139941703829	0.1850045459904029
96	0.3047132114419152	0.1868660262195485
98	0.3062402942637584	0.1888888696732075
100	0.30795624228073665	0.19103714328313978
102	0.30986635751817226	0.19328461752805073
104	0.31193940424581523	0.19566907757839416
106	0.31423408271715636	0.1982839944287317
108	0.31674022473785013	0.20103072797997168
110	0.31941405341227785	0.20397645136485973
112	0.3222868941253103	0.20712610986558425
114	0.32537272199125666	0.21049960035628215
116	0.32864174570764815	0.21405729788703295
118	0.33199104738875673	0.21771929799231726
120	0.33536598472264895	0.22151097839275874
122	0.3387693764187813	0.2254094758902293
124	0.3421562376504008	0.2293785138341778
126	0.3455850000671663	0.23345717485082437
128	0.34931711949208183	0.23779789568988244
