radius	low	clinical
100	0.29894054433058004	0.127130352135196
102	0.30077295509292157	0.12751998995215078
104	0.30263732191300263	0.1279271367208846
106	0.30461602869790755	0.12832562129859582
108	0.3066355500778266	0.1287980631057851
110	0.30866072282003015	0.12930738695749888
112	0.31031091305077557	0.12979198335735534
114	0.31222325834173975	0.1303322341175906
116	0.31450994259087234	0.13094554508272843
118	0.31680644646337264	0.13160973542708862
120	0.31938492318598877	0.13238555496435733
122	0.3220685815017937	0.1332047760076994
124	0.32509895182271903	0.13416379042317242
126	0.3280784869610398	0.13509422604315963
128	0.3311254770915786	0.13610088665290762
130	0.3340627945597465	0.13712166322176417
132	0.33665251465848045	0.13808749355844155
134	0.34716075882105646	0.16339224954965248
136	0.3855434156789427	0.24604169827046019
138	0.39450009909454614	0.2610756511059491
140	0.3987234635363268	0.26726709356339423
142	0.4014411147174161	0.2709149233169535
144	0.4034474881240369	0.27337056325198766
146	0.40500157325788194	0.2751220400062555
148	0.4062189922301661	0.2763818414034553
150	0.40721863964284977	0.27735435158197475
152	0.40804084321974743	0.27810295012198744
154	0.40877638837126395	0.2787390645271338
156	0.40942597557528365	0.27926747065222063
158	0.4100077688046792	0.2797230087886124
160	0.4105434852191759	0.28013256777054574
162	0.4109717948929936	0.28045315159358547
164	0.41132235028981073	0.2807084382003756
166	0.4116547342240944	0.2809430393572967
168	0.4119191990257324	0.2811153348012697
170	0.41211395340235674	0.28123300512379723
172	0.4122728086032867	0.2813387977948081
174	0.4123994979572918	0.28141837280919496
176	0.41247125907465476	0.2814573113708144
178	0.4125252149724033	0.2814728974771446
180	0.4125484391851952	0.28147118585669806
182	0.41255210970268485	0.28147276445084185
