radius	low	clinical
70	0.275098578167482	0.10680213668993924
72	0.27577168229232185	0.10688965909516174
74	0.27622803059124773	0.1068760965525272
76	0.2764522974097516	0.10675024836291337
78	0.2765492355269213	0.10657129793960837
80	0.2766683844552275	0.10638662785413629
82	0.27673062532210846	0.10619002974366847
84	0.27681639057456253	0.10600367631250152
86	0.27698485565272957	0.10586000649943035
88	0.2772831111756502	0.10577644393573676
90	0.2777207458414076	0.10573855082046908
92	0.2782326141856975	0.10574391022269902
94	0.27877105887799003	0.10578745355404476
96	0.28016639286877354	0.10858547981934785
98	0.2833831083646231	0.1168369772969066
100	0.2869600439652573	0.12537000700525228
102	0.2905793728441387	0.13340819226814943
104	0.2942639268497885	0.14106434828350625
106	0.2980022862029866	0.14859638995965282
108	0.30163086378165643	0.15561027698502491
110	0.30527178665661725	0.1623904537543946
112	0.3089711862828592	0.16901215570512237
114	0.31271593262962516	0.17549342857458294
116	0.3164434764296935	0.1817972266993381
118	0.3200763902158609	0.18794515536174428
120	0.323590059742868	0.1939955274684522
122	0.32693006144750253	0.19989145991928456
124	0.3300856753055712	0.20570124464845355
126	0.3330195024961135	0.211383780168489
128	0.33583965650920966	0.21684495719192115
