radius	ssim_low	ssim_clinical
100	0.27533843259553104	0.09575590541825807
102	0.27481518794898785	0.0955172585623571
104	0.27440525826350526	0.0953388848901509
106	0.2743266163528708	0.09530701193336616
108	0.27454897658560407	0.09537101749955817
110	0.2749588349794348	0.09552329564670688
112	0.2756297417583299	0.0957861081253639
114	0.27654017730589936	0.09611632507412958
116	0.27766778450007734	0.0965360993724952
118	0.2789512527983044	0.09701348185185779
120	0.2805159702030557	0.09762560787898261
122	0.2823671995670081	0.09839415635291468
124	0.28460794997971073	0.09937163684068626
126	0.2867478088413496	0.10027957803039422
128	0.2890707250594552	0.10126845020058677
130	0.291309212041	0.10220960919737605
132	0.2931796450532673	0.10302393079631456
134	0.3008749746742753	0.12479205736177523
136	0.3282754658388943	0.19096503272114154
138	0.3343342333584496	0.2023532003336316
140	0.33703208363439296	0.20681943037963385
142	0.3388433268746112	0.20945451161574802
144	0.3401890552595967	0.2111803143144395
146	0.34125011684797824	0.2123972887861264
148	0.34207705541701966	0.2132489512065737
150	0.3428070281093666	0.21392280096319435
152	0.34338990504265804	0.21442781864565977
154	0.34391834812498456	0.21485821106153483
156	0.34436154661806506	0.21519117728018303
158	0.3447412030470672	0.2154669179780261
160	0.3450867590722832	0.21570348996687028
162	0.34539165218911755	0.21590938684614205
164	0.34563955933661794	0.21607233383337415
166	0.3458841041628401	0.2162346939333437
168	0.3460947209572434	0.21636217068742808
170	0.34625038212392695	0.21644036082866852
172	0.3463715583738448	0.21650393585574354
174	0.34646423544801247	0.21655003463581377
176	0.3465162998649829	0.2165693463827387
178	0.34655681041942255	0.2165748936121237
180	0.3465767016074896	0.21657464538680307
182	0.34657966523861233	0.2165744747829049
