radius	low	clinical
70	0.07585812938456632	0.02634328725386639
72	0.0771005595171893	0.027361472447713215
74	0.07835948266976066	0.028384256746056657
76	0.07950987247879156	0.029338865729250076
78	0.08068706705568654	0.030323901355149008
80	0.08185041427612305	0.03130002975463867
82	0.08297436298322707	0.03224969803755089
84	0.08405775385919342	0.03318303945113202
86	0.08514457112586195	0.03412478391772157
88	0.08614484928856211	0.03501760072944578
90	0.08713946307146991	0.03591515811873071
92	0.088142431075271	0.03682855847652558
94	0.0891143812643235	0.03775477204294753
96	0.09006257189644708	0.03867368896802267
98	0.09094066055850752	0.039590456643634815
100	0.0917957275390625	0.04048605346679687
102	0.09258926432667124	0.04134006052922854
104	0.09329008632863062	0.04216649264273559
106	0.0939511074719373	0.0429829305157877
108	0.09454190812810785	0.04377380025730212
110	0.09507715650826447	0.04455056434820506
112	0.09554896062734175	0.04531987345948511
114	0.09596734767548669	0.04607353550942357
116	0.09632533342177746	0.04680973737900379
118	0.09663722940437823	0.047537523383075084
120	0.0969148423936632	0.048262871636284725
122	0.09716844443382995	0.048998571537861545
124	0.09740012146059605	0.049726325440977416
126	0.09760884741266299	0.05046665521315587
128	0.09776969999074936	0.051166437566280365
