radius	low	clinical
100	0.26950133890233413	0.11126126824998825
102	0.2690950263696041	0.11070024210663039
104	0.26874297044121487	0.11018922139871695
106	0.2684115912931604	0.1096688308749871
108	0.2682274784417711	0.10919981789667627
110	0.26823796409080775	0.10882879435681869
112	0.26846737916276947	0.10856871933930326
114	0.26893027657646934	0.10841650855157076
116	0.26964072063776146	0.10838500790272222
118	0.27049482569179073	0.10844537217206092
120	0.2715447173535252	0.10859792841961631
122	0.2726931795616869	0.10881875572895826
124	0.27405080135261706	0.10912800044810238
126	0.2755208214950319	0.10949425497018633
128	0.27756157232781054	0.11002948480970753
130	0.2806305819553099	0.11130122646162012
132	0.2831563055865456	0.11225843721128735
134	0.29129580636880453	0.1301770283896136
136	0.3253430554993805	0.199076021714339
138	0.334264046986561	0.2129509691580891
140	0.33865797416907767	0.21895246842844707
142	0.34165746843160355	0.22269741313634792
144	0.3438922847700989	0.22526719334869966
146	0.34566359644188177	0.2271665052606714
148	0.34704886108808414	0.2285474526827112
150	0.3482211912696572	0.22965719094410036
152	0.3491800965288504	0.23053174047067576
154	0.35004704533880043	0.231295710311727
156	0.3508035945784833	0.23192463907723831
158	0.3514634628671546	0.23245907333567578
160	0.35205014634835696	0.23292444693110848
162	0.35253583954159445	0.23330391282558255
164	0.3529415844261626	0.23361268046550362
166	0.3533321030707054	0.23390841930914952
168	0.3536560875478589	0.23414163097309318
170	0.3539232254167601	0.23432253409294604
172	0.3541280384128618	0.23446594698965603
174	0.3542924007987047	0.23457953746992682
176	0.35438655824330595	0.2346350181200804
178	0.3544646113155005	0.2346712306665477
180	0.35450244394813096	0.23468439026459958
182	0.3545072778269472	0.23468592206371153
