radius	ssim_low	ssim_clinical
100	0.3824261937414884	0.1370137326163208
102	0.3830490505010817	0.13705570850804813
104	0.3835271408045782	0.13704622375727485
106	0.3838806584060105	0.13701577381459465
108	0.38406731975897435	0.13692432279392158
110	0.3840762574900175	0.13677751178024045
112	0.3839372760515945	0.13656854409842978
114	0.3835474405666479	0.13628887403808682
116	0.38313425533219436	0.13601667648903243
118	0.3825715601454381	0.13571848512176504
120	0.38176711150175324	0.13532925039702684
122	0.3810894876040805	0.13502373063612783
124	0.38047437147126545	0.13471852654855576
126	0.3800144703186907	0.13451818934211449
128	0.3795744838321996	0.13435844466889332
130	0.37897393355943465	0.1341646685978898
132	0.37752121279848494	0.1337013898684946
134	0.3810251382358764	0.16007854707143923
136	0.41615086501429943	0.2460676985564545
138	0.42167772120769925	0.2592800557463939
140	0.4233079842831223	0.2639291828773504
142	0.42409667650500427	0.2664094297516623
144	0.42457161001672056	0.2678822156878749
146	0.42491049504057626	0.2688326294325052
148	0.4251702029673806	0.2694497131662776
150	0.4254147340339807	0.2699050204348121
152	0.4256485936089356	0.27025314067835604
154	0.42588471057545596	0.27054964005335774
156	0.42611777603541495	0.2707806867646845
158	0.4263546774779231	0.27099196036624323
160	0.4265786601023382	0.2711752399058006
162	0.426797990619946	0.27133602495103026
164	0.4269952499696088	0.27147223176142726
166	0.42723194025872513	0.2716304053193081
168	0.42745256754336414	0.271768750867003
170	0.4276435376089906	0.27187811022094327
172	0.42781732416191415	0.2719833179044304
174	0.427964433961644	0.2720704047491753
176	0.4280499801782619	0.27210860429388073
178	0.42811716609651446	0.27212902289028346
180	0.42814752289266206	0.27213326029444945
182	0.42815107524537677	0.27213265582344826
