radius	ssim_low	ssim_clinical
100	0.32782692296423377	0.11473618236478471
102	0.32719973053627843	0.11427504000762795
104	0.32669281212935053	0.11385743603858849
106	0.32620892844028504	0.11345047853362471
108	0.3258158247547428	0.11307365158424132
110	0.32555058441246926	0.11277440448594371
112	0.32540647337188633	0.11252122601327574
114	0.3253827637178522	0.11231052839043727
116	0.32548462651917365	0.11215050193258133
118	0.32571846971716356	0.11204616336606583
120	0.32606466069958473	0.1119744735252115
122	0.3264919136516035	0.11192879814443915
124	0.3270080386952423	0.11192116674463197
126	0.32748897354711337	0.11192198330818035
128	0.32754873292855774	0.11191116226912262
130	0.3275855202811502	0.11187152761896221
132	0.32734626522047017	0.11183274131381674
134	0.3327653184051772	0.13109943265427607
136	0.35815984239346943	0.19665996073111341
138	0.362275706936928	0.207340409487449
140	0.3636802323714971	0.2111255324355223
142	0.36456759794664184	0.21324437518043973
144	0.3652171265872653	0.2145712951796739
146	0.36577146354118434	0.21548092200342056
148	0.3662639434413045	0.2161321408054963
150	0.36674453862679607	0.21665402701247521
152	0.36717968378882065	0.21707023166406678
154	0.3676207775644184	0.2174417433154597
156	0.36801707053118754	0.21773651553582063
158	0.3683874325822343	0.2180115576719816
160	0.3687356958164266	0.2182468603901713
162	0.3690379916586079	0.21844675708451403
164	0.3693008672700699	0.21860733700174664
166	0.36957821033592303	0.21877976330607268
168	0.3698243238378257	0.21892120131046283
170	0.3700332983341074	0.2190291690205405
172	0.37020240752953903	0.21912485853214078
174	0.3703452993350359	0.2192062148840968
176	0.3704251328507846	0.21924341901389036
178	0.3704920223149962	0.2192663804223194
180	0.37052274824335046	0.21927192200958906
182	0.37052408349813626	0.219270118406223
