radius	low	clinical
70	0.29934016248444095	0.75685477652587
72	0.29897308198269457	0.7567390482872725
74	0.2987122383201495	0.7566586369648576
76	0.2985679635894485	0.7566560299601406
78	0.2984893982647918	0.7567264945246279
80	0.29855065210722387	0.7568703272845596
82	0.29893358575645834	0.7571170150768012
84	0.2995813323650509	0.7574321918655187
86	0.30028415069682524	0.7577668488956988
88	0.30094118969282135	0.7580764656886458
90	0.3014335454790853	0.7582897446118295
92	0.3017810427118093	0.7583746579475701
94	0.3020480317645706	0.7580627650022507
96	0.3021344951703213	0.7570096359122545
98	0.3020916014793329	0.7553077291231602
100	0.30212433938868344	0.7533845133148134
102	0.3025039733038284	0.7516414874698967
104	0.30340830120258033	0.7502503148280084
106	0.30484371236525476	0.7492218161933124
108	0.30651905649574474	0.748352077556774
110	0.30798812909051776	0.7473682593554258
112	0.3089976452756673	0.746096697403118
114	0.30968474718974903	0.7445659174118191
116	0.31032327288994566	0.7429240376222879
118	0.31081542739411816	0.7410169905051589
120	0.3108545352006331	0.7387062376365066
122	0.31018653366481885	0.7358441683463752
124	0.30986535927513614	0.7349620487075299
126	0.30986535927513614	0.7349620487075299
128	0.30986535927513614	0.7349620487075299
130	0.0	0.0
132	0.0	0.0
134	0.0	0.0
136	0.0	0.0
138	0.0	0.0
140	0.0	0.0
142	0.0	0.0
144	0.0	0.0
146	0.0	0.0
148	0.0	0.0
150	0.0	0.0
152	0.0	0.0
