radius	low	clinical
70	0.30397265311330557	0.7517326085362583
72	0.30521652480820194	0.7522320435382426
74	0.3060333976172842	0.7524573032278568
76	0.3062058395589702	0.7522071190178394
78	0.3056999417603947	0.7514784259255975
80	0.30446591490181163	0.7503507307264954
82	0.3027157695032656	0.7489482695236802
84	0.30083424429176375	0.7474750434048474
86	0.29912346391938627	0.7461278398986906
88	0.2978106234804727	0.7450826151762158
90	0.2971548437490128	0.7444669404067099
92	0.2972492694389075	0.7443620085250586
94	0.29806074633961543	0.7447272432036698
96	0.2994721212889999	0.7454199348576367
98	0.3015034646377899	0.7462691173423082
100	0.30333082686411217	0.7461660413537174
102	0.3044952451600693	0.7446824910584837
104	0.30500296654645354	0.7420743121765554
106	0.3054332892643288	0.7391509113367647
108	0.3062740343157202	0.7362305051647127
110	0.3065675141988322	0.7330274782143533
112	0.3060918434057385	0.7295158973429352
114	0.30458712636027485	0.7256154466886073
116	0.3020839695818722	0.7211749078705907
118	0.29953314585145563	0.7165860366076231
120	0.29713032103609294	0.7120551699772477
122	0.2949291917029768	0.707609553122893
124	0.29295958671718836	0.7032285300083458
126	0.29120854556094855	0.6989012502599508
128	0.28961982583859935	0.6944860019721091
130	0.0	0.0
132	0.0	0.0
134	0.0	0.0
136	0.0	0.0
138	0.0	0.0
140	0.0	0.0
142	0.0	0.0
144	0.0	0.0
146	0.0	0.0
148	0.0	0.0
150	0.0	0.0
152	0.0	0.0
