radius	low	clinical
70	0.05986303603810942	0.00863675055883502
72	0.05979387100044338	0.00857901211165882
74	0.05972722913565004	0.008521588609924132
76	0.05964826834748061	0.008463531449100668
78	0.05957636915178646	0.008406867793485017
80	0.05950302345078931	0.008350775030697736
82	0.059415384843173435	0.008294168138889205
84	0.05932354482255464	0.008238541366233386
86	0.05923029668756788	0.008184025226811047
88	0.05913542298492077	0.00813084653686847
90	0.05903586725423246	0.008078554466705459
92	0.05892904166140532	0.008027575233713984
94	0.0588139930981319	0.007978429664015813
96	0.0591273003787448	0.008372220135064813
98	0.060383895252378285	0.00969989797571519
100	0.06176497446520373	0.011148860538233996
102	0.06311454565619977	0.012580113113724445
104	0.0644561388895527	0.014004164180561142
106	0.06581319671074375	0.015460437522798793
108	0.06710752601485168	0.01686006727239656
110	0.06837039892108715	0.018244557995619297
112	0.06962437570332816	0.01962508305848928
114	0.07085167033996635	0.020996467572659553
116	0.07205162612470994	0.022348311097717368
118	0.07324207380507	0.02370133856560782
120	0.07444062438634225	0.025074929886516058
122	0.07565985670956507	0.02647909836864756
124	0.07690396933736182	0.027919751999466457
126	0.07821949427947125	0.029435615981127084
128	0.07959697751992884	0.031025565459084605
