radius	low	clinical
70	0.2811391923447975	0.10032177485377809
72	0.2811583407651523	0.10022055678476582
74	0.28113956255102773	0.10009749389173177
76	0.2810965075477913	0.09996540640622179
78	0.28110417890584044	0.0998504659065685
80	0.28117796667726747	0.09976304360425815
82	0.28131155623997345	0.09970355877219318
84	0.28154899412077145	0.09968890690425583
86	0.2819098319127207	0.09972625169245614
88	0.2824096691811529	0.09982560650539506
90	0.28304980623996034	0.09998622525397183
92	0.2838468073234375	0.10021779830200715
94	0.2847990297967085	0.10052911633342385
96	0.28681110170393953	0.10409239350424623
98	0.2908749385262863	0.1137997197368297
100	0.2952507682881352	0.12356439196415188
102	0.29960721651257904	0.1326312373177333
104	0.30400579554818785	0.14120781933158105
106	0.3085124570480919	0.14960833278183241
108	0.31298139377066925	0.15745305019832717
110	0.317467579613105	0.1650217780278706
112	0.3220275541766514	0.17241581092171931
114	0.3266506134012595	0.17966018689219052
116	0.33133684196381974	0.18674732454159654
118	0.336091591108629	0.1937678142633753
120	0.34095840056602855	0.2008245467588356
122	0.34596973583314966	0.20796725235786512
124	0.3511506219671353	0.21523424549611123
126	0.35658354447617996	0.2227760361073911
128	0.36244048875167467	0.23075063863339534
