radius	low	clinical
70	0.05986303603810941	0.00863675055883502
72	0.0597938710004434	0.008579012111658818
74	0.059727229135650074	0.008521588609924132
76	0.05964826834748059	0.008463531449100668
78	0.05957636915178647	0.008406867793485017
80	0.059503023450789304	0.00835077503069774
82	0.059415384843173415	0.008294168138889207
84	0.059323544822554614	0.00823854136623339
86	0.05923029668756788	0.008184025226811048
88	0.05913542298492079	0.008130846536868472
90	0.05903586725423246	0.008078554466705459
92	0.05892904166140533	0.008027575233713983
94	0.058813993098131886	0.007978429664015817
96	0.0591273003787448	0.008372220135064813
98	0.06038389525237827	0.009699897975715193
100	0.061764974465203744	0.011148860538233997
102	0.06311454565619977	0.012580113113724447
104	0.0644561388895527	0.014004164180561138
106	0.06581319671074373	0.015460437522798793
108	0.06710752601485166	0.016860067272396556
110	0.0683703989210872	0.018244557995619293
112	0.06962437570332816	0.019625083058489288
114	0.07085167033996634	0.020996467572659546
116	0.07205162612470994	0.02234831109771737
118	0.07324207380506999	0.02370133856560782
120	0.07444062438634223	0.02507492988651606
122	0.07565985670956507	0.026479098368647567
124	0.0769039693373618	0.02791975199946644
126	0.07821949427947128	0.029435615981127088
128	0.07959697751992884	0.031025565459084605
