radius	low	clinical
100	0.059198436378404856	0.008142947316596207
102	0.05912176004218824	0.00809636387424538
104	0.05904835553905717	0.008051619268618793
106	0.05897114064303449	0.00800672668143205
108	0.05888213729545225	0.007961231363448246
110	0.05879131161934216	0.007917524459964914
112	0.05869778012396349	0.007874287149794582
114	0.058603654894130976	0.007832574029768022
116	0.05850507941883824	0.0077913852882954574
118	0.05839712727637903	0.007752043449269043
120	0.05827989596115833	0.007713284476778913
122	0.05816744185612115	0.007677919124613301
124	0.0580418715658602	0.0076422246790852745
126	0.05790615352676229	0.007607973409274298
128	0.05777536767927799	0.007574063429829325
130	0.0576703204713787	0.007563493825634948
132	0.05756117171910548	0.0075502125325129545
134	0.06023122253116365	0.010507348560416617
136	0.07492296475200776	0.02512770703523141
138	0.07830114951917544	0.028468029984303016
140	0.07957834353939919	0.029777142705920075
142	0.0802245624470746	0.030490036822170365
144	0.08054841181089084	0.030896010707069155
146	0.08069165462955884	0.03113135015688463
148	0.08072469514002105	0.03125635419090196
150	0.08069632792459377	0.03132058938898534
152	0.08063507245145128	0.0313471219914185
154	0.08055068729702701	0.03135196020835478
156	0.08044656295966353	0.03133405730399541
158	0.08034298228643771	0.03131006291434768
160	0.08023679253273014	0.03127935235201343
162	0.08013893739790268	0.031248592324252426
164	0.0800494595806376	0.031217647788083603
166	0.07995921748661118	0.03118659785189637
168	0.07987924971881115	0.031155566334882485
170	0.07979832062698565	0.031120602566895007
172	0.07973997046678649	0.031096507344681217
174	0.07968961387181422	0.031075125386823287
176	0.07965483624766756	0.031058107158534253
178	0.07961916708605922	0.031038599171315417
180	0.07959987893984674	0.031027296637802293
182	0.07959697751992884	0.031025565459084605
