radius	low	clinical
70	0.32381224632263184	0.776657223701477
72	0.323262095451355	0.7752552628517151
74	0.32245585322380066	0.773711621761322
76	0.321550577878952	0.7720202803611755
78	0.3205507695674896	0.7702707648277283
80	0.3194088637828827	0.7684056758880615
82	0.3181284964084625	0.7665554881095886
84	0.31703606247901917	0.7647669911384583
86	0.31598326563835144	0.7629420161247253
88	0.3148348927497864	0.7610893845558167
90	0.31372562050819397	0.7592877149581909
92	0.31274500489234924	0.7575068473815918
94	0.3120427429676056	0.7558961510658264
96	0.31184640526771545	0.754523515701294
98	0.31217581033706665	0.753317654132843
100	0.3128131031990051	0.7521783113479614
102	0.3134738802909851	0.7509848475456238
104	0.3140307068824768	0.7496959567070007
106	0.3146863877773285	0.7484113574028015
108	0.31615179777145386	0.7474185228347778
110	0.31813761591911316	0.7465225458145142
112	0.31979507207870483	0.745491087436676
114	0.3209525942802429	0.744273841381073
116	0.3214097321033478	0.7427952289581299
118	0.3214883804321289	0.7411094903945923
120	0.3217460513114929	0.7395145297050476
122	0.32212600111961365	0.7380125522613525
124	0.32256177067756653	0.7365602850914001
126	0.32305920124053955	0.7351335287094116
128	0.32357341051101685	0.7336968183517456
