radius	low	clinical
70	0.26575324846272114	0.09421672727498401
72	0.26474710466799956	0.09370725370012471
74	0.2639254547595735	0.09328456384018864
76	0.2633668541009426	0.09297257797646709
78	0.2631338313567163	0.09277790285267852
80	0.2632520501803773	0.0927581337058636
82	0.2636718211982986	0.09288134330859397
84	0.26442653734859634	0.09314764576768073
86	0.2657038931303048	0.09364843953076485
88	0.26761829702255846	0.09441322924581726
90	0.27005707143849933	0.09536309452555344
92	0.27275234355337796	0.09638504619373872
94	0.2753954170717604	0.09742044075157734
96	0.2788752709747245	0.10167280352248133
98	0.2842635313225549	0.11230474956440004
100	0.2896349429532116	0.12290704422234076
102	0.29461091458185124	0.1326752284502682
104	0.2991322200868101	0.1416286940306408
106	0.30448310867159734	0.15072261686390992
108	0.3097365721769973	0.15924591926893958
110	0.31497502968793994	0.16747371837806438
112	0.32038078260140657	0.1755609652594429
114	0.32588288153845907	0.1835670164023085
116	0.3315347243773276	0.19145772717972084
118	0.33732663606374963	0.19935312804707067
120	0.3433628476938383	0.20740322242988324
122	0.3496715441765765	0.21565489941393232
124	0.35619647549839467	0.22410186186910505
126	0.363052030329341	0.23289072024047425
128	0.37031125638050433	0.24213740538090336
