radius	low	clinical
70	0.30245551525065584	0.15873383174998165
72	0.30216238067353796	0.16039536815194666
74	0.30187697048610357	0.16199220881336623
76	0.3017486521494044	0.16346662598267186
78	0.3019620827435548	0.1651358066941966
80	0.30246645238953324	0.1668955316842832
82	0.30309829987590625	0.16870543368265736
84	0.30394586143154834	0.17056875308733144
86	0.3049790259286524	0.17255131458414819
88	0.30613379901407234	0.174507004856171
90	0.3075256574789154	0.17658636303223296
92	0.30909996523059363	0.17884009025011322
94	0.31089616721242547	0.18124330812465672
96	0.31286384144040913	0.18376397297079883
98	0.3150687026987492	0.18643839630080308
100	0.31750374470777737	0.1892417141078081
102	0.3201590263391535	0.19220592867877395
104	0.3231424022061444	0.19538757788575017
106	0.32640911086432484	0.19883196813919957
108	0.32969699954408055	0.2023257615772339
110	0.3329165828730192	0.20583979533421423
112	0.3360631508156688	0.20936099546482811
114	0.3390485734320848	0.21285993897352765
116	0.34251276521492535	0.2167371461399753
118	0.34605536323341013	0.2207222314176833
120	0.34967110797414935	0.22484244817445698
122	0.35335506565621455	0.2291240417691436
124	0.35711429473218737	0.2335354869483188
126	0.36096243008475754	0.23809896594631685
128	0.36481402682464736	0.24269744039548524
